DRT 0000 FlexDR_init.cpp:325       initNetTerms unsupported obj.
DRT 0044 FlexGC_main.cpp:2311      Unsupported LEF58_SPACING rule for cut layer, skipped.
DRT 0045 FlexGC_main.cpp:2488       Unsupported branch EXACTALIGNED in checkLef58CutSpacing_spc_adjCut.
DRT 0046 FlexGC_main.cpp:2495       Unsupported branch EXCEPTSAMEPGNET in checkLef58CutSpacing_spc_adjCut.
DRT 0047 FlexGC_main.cpp:2502       Unsupported branch EXCEPTALLWITHIN in checkLef58CutSpacing_spc_adjCut.
DRT 0048 FlexGC_main.cpp:2509       Unsupported branch TO ALL in checkLef58CutSpacing_spc_adjCut.
DRT 0050 FlexGC_main.cpp:2516       Unsupported branch ENCLOSURE in checkLef58CutSpacing_spc_adjCut.
DRT 0051 FlexGC_main.cpp:2523       Unsupported branch SIDEPARALLELOVERLAP in checkLef58CutSpacing_spc_adjCut.
DRT 0052 FlexGC_main.cpp:2530       Unsupported branch SAMEMASK in checkLef58CutSpacing_spc_adjCut.
DRT 0053 FlexGC_init.cpp:993       updateGCWorker cannot find frNet in DRWorker.
DRT 0054 FlexGC_main.cpp:2621      Unsupported branch STACK in checkLef58CutSpacing_spc_layer.
DRT 0055 FlexGC_main.cpp:2625      Unsupported branch ORTHOGONALSPACING in checkLef58CutSpacing_spc_layer.
DRT 0056 FlexGC_main.cpp:2633      Unsupported branch SHORTEDGEONLY in checkLef58CutSpacing_spc_layer.
DRT 0057 FlexGC_main.cpp:2640      Unsupported branch WIDTH in checkLef58CutSpacing_spc_layer.
DRT 0058 FlexGC_main.cpp:2645      Unsupported branch PARALLEL in checkLef58CutSpacing_spc_layer.
DRT 0059 FlexGC_main.cpp:2650      Unsupported branch EDGELENGTH in checkLef58CutSpacing_spc_layer.
DRT 0060 FlexGC_main.cpp:2656      Unsupported branch EXTENSION in checkLef58CutSpacing_spc_layer.
DRT 0061 FlexGC_main.cpp:2663      Unsupported branch ABOVEWIDTH in checkLef58CutSpacing_spc_layer.
DRT 0062 FlexGC_main.cpp:2668      Unsupported branch MASKOVERLAP in checkLef58CutSpacing_spc_layer.
DRT 0063 FlexGC_main.cpp:2673      Unsupported branch WRONGDIRECTION in checkLef58CutSpacing_spc_layer.
DRT 0065 FlexPA_init.cpp:92        instAnalysis unsupported pinFig.
DRT 0066 FlexPA_init.cpp:99        instAnalysis skips {} due to no pin shapes.
DRT 0067 FlexPA_prep.cpp:113       FlexPA mergePinShapes unsupported shape.
DRT 0068 FlexPA_prep.cpp:452       prepPoint_pin_genPoints_rect cannot find secondLayerNum.
DRT 0069 FlexPA_init.cpp:269       initPinAccess error.
DRT 0070 FlexPA_prep.cpp:796       Unexpected direction in getPlanarEP.
DRT 0071 FlexPA_prep.cpp:1285      prepPoint_pin_helper unique2paidx not found.
DRT 0072 FlexPA_prep.cpp:1298      prepPoint_pin_helper unique2paidx not found.
DRT 0073 FlexPA_prep.cpp:1429      No access point for {}/{}.
DRT 0074 FlexPA_prep.cpp:1478      No access point for PIN/{}.
DRT 0075 FlexPA_prep.cpp:1387      prepPoint_pin unique2paidx not found.
DRT 0076 FlexPA_prep.cpp:1441        Complete {} pins.
DRT 0077 FlexPA_prep.cpp:1445        Complete {} pins.
DRT 0078 FlexPA_prep.cpp:1489        Complete {} pins.
DRT 0079 FlexPA_prep.cpp:1542        Complete {} unique inst patterns.
DRT 0080 FlexPA_prep.cpp:1547        Complete {} unique inst patterns.
DRT 0081 FlexPA_prep.cpp:1559        Complete {} unique inst patterns.
DRT 0082 FlexPA_prep.cpp:1620        Complete {} groups.
DRT 0083 FlexPA_prep.cpp:1624        Complete {} groups.
DRT 0084 FlexPA_prep.cpp:1635        Complete {} groups.
DRT 0085 FlexPA_prep.cpp:1811      Valid access pattern combination not found for {}
DRT 0086 FlexPA_prep.cpp:2073      Pin does not have an access point.
DRT 0087 FlexPA_prep.cpp:1528      No valid pattern for unique instance {}, master is {}.
DRT 0089 FlexPA_prep.cpp:2256      genPattern_gc objs empty.
DRT 0090 FlexPA_prep.cpp:2505      Valid access pattern not found.
DRT 0091 FlexPA_prep.cpp:2578      Pin does not have valid ap.
DRT 0092 FlexRP_prep.cpp:1530      Duplicate diff layer samenet cut spacing, skipping cut spacing from {} to {}.
DRT 0093 FlexRP_prep.cpp:1554      Duplicate diff layer diffnet cut spacing, skipping cut spacing from {} to {}.
DRT 0094 io.cpp:89                 Cannot find layer: {}.
DRT 0095 io.cpp:131                Library cell {} not found.
DRT 0096 io.cpp:135                Same cell name: {}.
DRT 0097 io.cpp:214                Cannot find cut layer {}.
DRT 0098 io.cpp:224                Cannot find bottom layer {}.
DRT 0099 io.cpp:235                Cannot find top layer {}.
DRT 0100 io.cpp:319                Unsupported via: {}.
DRT 0101 io.cpp:321                Non-consecutive layers for via: {}.
DRT 0102 io.cpp:460                Odd dimension in both directions.
DRT 0103 io.cpp:489                Unknown direction.
DRT 0104 io.cpp:534                Terminal {} not found.
DRT 0105 io.cpp:559                Component {} not found.
DRT 0106 io.cpp:565                Component pin {}/{} not found.
DRT 0107 io.cpp:636                Unsupported layer {}.
DRT 0108 io.cpp:731                Unsupported via in db.
DRT 0109 io.cpp:794                Unsupported via in db.
DRT 0112 io.cpp:901                Unsupported layer {}.
DRT 0113 io.cpp:2780               Tech layers for via {} not found in db tech.
DRT 0114 io.cpp:2902               Unknown connFig type while writing net {}.
DRT 0115 FlexPA_graphics.cpp:66    Setting MAX_THREADS=1 for use with the PA GUI.
DRT 0116 io.cpp:1004               Load design first.
DRT 0117 io.cpp:1007               Load design first.
DRT 0118 TritonRoute.tcl:264       -worker is a list of 2 coordinates.
DRT 0119 FlexPA_graphics.cpp:270   Marker ({}, {}) ({}, {}) on {}:
DRT 0122 io.cpp:2013               Layer {} is skipped for {}/{}.
DRT 0123 io.cpp:2048               Layer {} is skipped for {}/OBS.
DRT 0124 io.cpp:2241               Via {} with unused layer {} will be ignored.
DRT 0125 io.cpp:2256               Unsupported via {}.
DRT 0126 io.cpp:2263               Non-consecutive layers for via {}.
DRT 0127 io.cpp:2273               Unknown layer {} for via {}.
DRT 0128 io.cpp:2124               Unsupported viarule {}.
DRT 0129 io.cpp:2130               Unknown layer {} for viarule {}.
DRT 0130 io.cpp:2143               Non-consecutive layers for viarule {}.
DRT 0131 io.cpp:2164               cutLayer cannot have overhangs in viarule {}, skipping enclosure.
DRT 0132 io.cpp:2185               botLayer cannot have rect in viarule {}, skipping rect.
DRT 0133 io.cpp:2195               topLayer cannot have rect in viarule {}, skipping rect.
DRT 0134 io.cpp:2210               botLayer cannot have spacing in viarule {}, skipping spacing.
DRT 0135 io.cpp:2220               botLayer cannot have spacing in viarule {}, skipping spacing.
DRT 0136 io.cpp:2319               Load design first.
DRT 0138 io.cpp:1667               New SPACING SAMENET overrides oldSPACING SAMENET rule.
DRT 0139 io.cpp:1609               minEnclosedArea constraint with width is not supported, skipped.
DRT 0140 io.cpp:1639               SpacingRange unsupported.
DRT 0141 io.cpp:1641               SpacingLengthThreshold unsupported.
DRT 0142 io.cpp:1643               SpacingNotchLength unsupported.
DRT 0143 io.cpp:1645               SpacingEndOfNotchWidth unsupported.
DRT 0144 io.cpp:1683               New SPACING SAMENET overrides oldSPACING SAMENET rule.
DRT 0145 io.cpp:1737               New SPACINGTABLE PARALLELRUNLENGTH overrides old SPACING rule.
DRT 0146 io.cpp:1766               New SPACINGTABLE TWOWIDTHS overrides old SPACING rule.
DRT 0147 io.cpp:1888               cutWithin is smaller than cutSpacing for ADJACENTCUTS on layer {}, please check your rule definition.
DRT 0148 TritonRoute.cpp:995       Deprecated lef param in params file.
DRT 0149 io.cpp:2335               Reading tech and libs.
DRT 0150 io.cpp:2351               Reading design.
DRT 0153 io.cpp:2394               Cannot find net {}.
DRT 0154 io.cpp:2398               Cannot find layer {}.
DRT 0155 io.cpp:2403               Guide in net {} uses layer {} ({}) that is outside the allowed routing range [{} ({}), ({})].
DRT 0156 io.cpp:2422               guideIn read {} guides.
DRT 0157 io.cpp:2426               guideIn read {} guides.
DRT 0160 io_parser_helper.cpp:122  Warning: {} does not have viaDef aligned with layer direction, generating new viaDef {}.
DRT 0161 io.cpp:1400               Unsupported LEF58_SPACING rule for layer {} of type MAXXY.
DRT 0162 io_pin.cpp:37             Library cell analysis.
DRT 0163 io_pin.cpp:83             Instance analysis.
DRT 0164 io_pin.cpp:137            Number of unique instances = {}.
DRT 0165 FlexPA.cpp:102            Start pin access.
DRT 0166 FlexPA.cpp:140            Complete pin access.
DRT 0167 frTechObject.h:257        List of default vias:
DRT 0168 io_parser_helper.cpp:545  Init region query.
DRT 0169 io_parser_helper.cpp:557  Post process guides.
DRT 0170 io_parser_helper.cpp:742  No GCELLGRIDX.
DRT 0171 io_parser_helper.cpp:747  No GCELLGRIDY.
DRT 0172 io_parser_helper.cpp:801  No GCELLGRIDX.
DRT 0173 io_parser_helper.cpp:806  No GCELLGRIDY.
DRT 0174 io_parser_helper.cpp:846  GCell cnt x < 1.
DRT 0175 io_parser_helper.cpp:862  GCell cnt y < 1.
DRT 0176 io_parser_helper.cpp:868  GCELLGRID X {} DO {} STEP {} ;
DRT 0177 io_parser_helper.cpp:874  GCELLGRID Y {} DO {} STEP {} ;
DRT 0178 io_parser_helper.cpp:595  Init guide query.
DRT 0179 io_parser_helper.cpp:598  Init gr pin query.
DRT 0180 io.cpp:2756               Post processing.
DRT 0181 FlexTA.cpp:330            Start track assignment.
DRT 0182 FlexTA.cpp:343            Complete track assignment.
DRT 0183 FlexTA.cpp:219            Done with {} horizontal wires in {} frboxes and {} vertical wires in {} frboxes.
DRT 0184 FlexTA.cpp:237            Done with {} vertical wires in {} frboxes and {} horizontal wires in {} frboxes.
DRT 0185 io_parser_helper.cpp:614  Post process initialize RPin region query.
DRT 0186 FlexTA.cpp:303            Done with {} vertical wires in {} frboxes and {} horizontal wires in {} frboxes.
DRT 0187 FlexDR.cpp:398            Start routing data preparation.
DRT 0194 FlexDR.cpp:412            Start detail routing.
DRT 0195 FlexDR.cpp:491            Start {}{} optimization iteration.
DRT 0198 FlexDR.cpp:765            Complete detail routing.
DRT 0199 FlexDR.cpp:707              Number of violations = {}.
DRT 0201 FlexGR.cpp:626            Must load design before global routing.
DRT 0202 FlexGR.cpp:654            Skipping layer {} not found in db for congestion map.
DRT 0203 FlexGR.cpp:633            dbGcellGrid already exists in db. Clearing existing dbGCellGrid.
DRT 0205 TritonRoute.cpp:1007      Deprecated output param in params file.
DRT 0206 FlexDR_conn.cpp:1299      checkConnectivity error.
DRT 0207 FlexDR_graphics.cpp:729   Setting MAX_THREADS=1 for use with the DR GUI.
DRT 0210 io.cpp:1524               Layer {} minWidth is larger than width. Using width as minWidth.
DRT 0214 io_guide.cpp:878          genGuides empty pin2GCellMap.
DRT 0215 io_guide.cpp:887          Pin {}/{} not covered by guide.
DRT 0216 io_guide.cpp:896          Pin PIN/{} not covered by guide.
DRT 0217 io_guide.cpp:901          genGuides unknown type.
DRT 0218 io_guide.cpp:938          Guide is not connected to design.
DRT 0219 io_guide.cpp:941          Guide is not connected to design.
DRT 0220 io_guide.cpp:986          genGuides_final net {} error 1.
DRT 0221 io_guide.cpp:1005         genGuides_final net {} error 2.
DRT 0222 io_guide.cpp:1013         genGuides_final net {} pin not in any guide.
DRT 0223 io_guide.cpp:1062         Pin dangling id {} ({},{}) {}.
DRT 0224 io_guide.cpp:1267         {} {} pin not visited, number of guides = {}.
DRT 0225 io_guide.cpp:1277         {} {} pin not visited, fall back to feedthrough mode.
DRT 0226 FlexGC_eol.cpp:469        Unsupported endofline spacing rule.
DRT 0227 TritonRoute.cpp:997       Deprecated def param in params file.
DRT 0228 io_guide.cpp:367          genGuides_merge cannot find touching layer.
DRT 0229 io_guide.cpp:495          genGuides_split lineIdx is empty on {}.
DRT 0230 io_guide.cpp:582          genGuides_gCell2TermMap avoid condition2, may result in guide open: {}.
DRT 0231 io_guide.cpp:598          genGuides_gCell2TermMap avoid condition3, may result in guide open: {}.
DRT 0232 io_guide.cpp:610          genGuides_gCell2TermMap unsupoprted pinfig.
DRT 0234 io_parser_helper.cpp:85   {} does not have single-cut via.
DRT 0235 io_parser_helper.cpp:193  Second layer {} does not exist.
DRT 0236 io_parser_helper.cpp:200  Updating diff-net cut spacing rule between {} and {}.
DRT 0237 io_parser_helper.cpp:218  Second layer {} does not exist.
DRT 0238 io_parser_helper.cpp:225  Updating same-net cut spacing rule between {} and {}.
DRT 0239 io_parser_helper.cpp:282  Non-rectangular shape in via definition.
DRT 0240 io_parser_helper.cpp:289  CUT layer {} does not have square single-cut via, cut layer width may be set incorrectly.
DRT 0241 io_parser_helper.cpp:296  CUT layer {} does not have single-cut via, cut layer width may be set incorrectly.
DRT 0242 io_parser_helper.cpp:304  CUT layer {} does not have default via.
DRT 0243 io_parser_helper.cpp:316  Non-rectangular shape in via definition.
DRT 0244 io_parser_helper.cpp:321  CUT layer {} has smaller width defined in LEF compared to default via.
DRT 0245 io_parser_helper.cpp:603  skipped writing guide updates to database.
DRT 0246 io_parser_helper.cpp:647  {}/{} from {} has nullptr as prefAP.
DRT 0247 io.cpp:2454               io::Writer::fillConnFigs_net does not support this type.
DRT 0248 io_pin.cpp:72             instAnalysis unsupported pinFig.
DRT 0249 FlexDR_graphics.cpp:669   Net {} (id = {}).
DRT 0250 FlexDR_graphics.cpp:672     Pin {}.
DRT 0251 TritonRoute.tcl:83        -param cannot be used with other arguments
DRT 0252 TritonRoute.cpp:981       params file is deprecated. Use tcl arguments.
DRT 0253 FlexGC_init.cpp:178       Design and tech mismatch.
DRT 0255 FlexDR_maze.cpp:1723      Maze Route cannot find path of net {} in worker of routeBox {}.
DRT 0256 io.cpp:355                Skipping NDR {} because another rule with the same name already exists.
DRT 0258 io.cpp:1393               Unsupported LEF58_SPACING rule for layer {} of type AREA.
DRT 0259 io.cpp:1407               Unsupported LEF58_SPACING rule for layer {} of type SAMEMASK.
DRT 0260 io.cpp:1414               Unsupported LEF58_SPACING rule for layer {} of type PARALLELOVERLAP.
DRT 0261 io.cpp:1421               Unsupported LEF58_SPACING rule for layer {} of type PARALLELWITHIN.
DRT 0262 io.cpp:1428               Unsupported LEF58_SPACING rule for layer {} of type SAMEMETALSHAREDEDGE.
DRT 0263 io.cpp:1435               Unsupported LEF58_SPACING rule for layer {}.
DRT 0266 TritonRoute.cpp:1004      Deprecated outputTA param in params file.
DRT 0267 frTime.cpp:48             cpu time = {:02}:{:02}:{:02}, elapsed time = {:02}:{:02}:{:02}, memory = {:.2f} (MB), peak = {:.2f} (MB)
DRT 0268 FlexTA.cpp:285            Done with {} horizontal wires in {} frboxes and {} vertical wires in {} frboxes.
DRT 0269 FlexGC_eol.cpp:58         Unsupported endofline spacing rule.
DRT 0270 FlexGC_eol.cpp:232        Unsupported endofline spacing rule.
DRT 0271 FlexGC_eol.cpp:402        Unsupported endofline spacing rule.
DRT 0272 TritonRoute.cpp:524       bottomRoutingLayer {} not found.
DRT 0273 TritonRoute.cpp:536       topRoutingLayer {} not found.
DRT 0274 TritonRoute.cpp:1023      Deprecated threads param in params file. Use 'set_thread_count'.
DRT 0275 FlexDR_graphics.cpp:675       AP ({:.5f}, {:.5f}) (layer {}) (cost {}).
DRT 0276 FlexPA_prep.cpp:1885      Valid access pattern combination not found.
DRT 0277 FlexPA_prep.cpp:2673      Valid access pattern not found.
DRT 0278 FlexPA_prep.cpp:2711      Valid access pattern not found.
DRT 0279 io.cpp:1446               SAMEMASK unsupported for cut LEF58_SPACINGTABLE rule
DRT 0280 FlexPA_graphics.cpp:343   Unknown type {} in setObjAP
DRT 0281 FlexPA_graphics.cpp:349   Marker {} at ({}, {}) ({}, {}).
DRT 0282 io.cpp:174                Skipping blockage. Cannot find layer {}.
DRT 0290 TritonRoute.cpp:1156      Waring: no DRC report specified, skipped writing DRC report
DRT 0291 TritonRoute.cpp:1219      Unexpected source type in marker: {}
DRT 0292 FlexPA_graphics.cpp:305   Marker {} at ({}, {}) ({}, {}).
DRT 0293 FlexPA_graphics.cpp:74    pin name {} has no ':' delimeter
DRT 0294 io.cpp:2969               master {} not found in db
DRT 0295 io.cpp:2973               mterm {} not found in db
DRT 0296 io.cpp:2976               Mismatch in number of pins for term {}/{}
DRT 0297 io.cpp:3002               inst {} not found in db
DRT 0298 io.cpp:3008               iterm {} not found in db
DRT 0299 io.cpp:3011               Mismatch in access points size {} and term pins size {}
DRT 0300 io.cpp:3023               Preferred access point is not found
DRT 0301 io.cpp:3034               bterm {} not found in db
DRT 0302 io.cpp:883                Unsupported multiple pins on bterm {}
DRT 0303 io.cpp:3041               Mismatch in number of pins for bterm {}
DRT 0304 TritonRoute.cpp:825       Updating design remotely failed
DRT 0305 io.cpp:504                Net {} of signal type {} is not routable by TritonRoute. Move to special nets.
DRT 0306 io.cpp:524                Net {} of signal type {} cannot be connected to bterm {} with signal type {}
DRT 0307 io.cpp:548                Net {} of signal type {} cannot be connected to iterm {}/{} with signal type {}
DRT 0308 TritonRoute.tcl:428       step_dr requires nine positional arguments.
DRT 0309 TritonRoute.cpp:999       Deprecated guide param in params file. use read_guide instead.
DRT 0310 TritonRoute.cpp:1010      Deprecated outputguide param in params file. use write_guide instead.
DRT 0311 FlexGC_main.cpp:1719      Unsupported branch EXCEPTMINWIDTH in PROPERTY LEF58_AREA.
DRT 0312 FlexGC_main.cpp:1726      Unsupported branch EXCEPTEDGELENGTH in PROPERTY LEF58_AREA.
DRT 0313 FlexGC_main.cpp:1731      Unsupported branch EXCEPTMINSIZE in PROPERTY LEF58_AREA.
DRT 0314 FlexGC_main.cpp:1734      Unsupported branch EXCEPTSTEP in PROPERTY LEF58_AREA.
DRT 0315 FlexGC_main.cpp:1737      Unsupported branch MASK in PROPERTY LEF58_AREA.
DRT 0316 FlexGC_main.cpp:1740      Unsupported branch LAYER in PROPERTY LEF58_AREA.
DRT 0317 io.cpp:1792               LEF58_MINIMUMCUT AREA is not supported. Skipping for layer {}
DRT 0318 io.cpp:1800               LEF58_MINIMUMCUT SAMEMETALOVERLAP is not supported. Skipping for layer {}
DRT 0319 io.cpp:1808               LEF58_MINIMUMCUT FULLYENCLOSED is not supported. Skipping for layer {}
DRT 0320 FlexPA_init.cpp:237       Term {} of {} contains offgrid pin shape
DRT 0321 FlexPA_init.cpp:247       Term {} of {} contains offgrid pin shape
DRT 0322 FlexPA_init.cpp:255       checkFigsOnGrid unsupported pinFig.
DRT 0323 io.cpp:1999               Via(s) in pin {} of {} will be ignored
DRT 0400 io.cpp:1119               Unsupported LEF58_SPACING rule with option EXCEPTEXACTWIDTH for layer {}.
DRT 0401 io.cpp:1127               Unsupported LEF58_SPACING rule with option FILLCONCAVECORNER for layer {}.
DRT 0403 io.cpp:1135               Unsupported LEF58_SPACING rule with option EQUALRECTWIDTH for layer {}.
DRT 0404 io.cpp:942                mterm {} not found in db
DRT 0405 io.cpp:945                Mismatch in number of pins for term {}/{}
DRT 0406 FlexTA_assign.cpp:609     No {} tracks found in ({}, {}) for layer {}
DRT 0410 FlexGC_main.cpp:1857      frNet not found.
DRT 0411 FlexGC_main.cpp:1862      frNet {} does not have drNets.
DRT 0500 FlexDR.cpp:1199           Sending worker {} failed
DRT 0506 TritonRoute.tcl:169       -remote_host is required for distributed routing.
DRT 0507 TritonRoute.tcl:174       -remote_port is required for distributed routing.
DRT 0508 TritonRoute.tcl:179       -shared_volume is required for distributed routing.
DRT 0512 frRegionQuery.cpp:300     Unsupported region removeBlockObj
DRT 0513 frRegionQuery.cpp:229     Unsupported region addBlockObj
DRT 0516 TritonRoute.tcl:184       -cloud_size is required for distributed routing.
DRT 0517 TritonRoute.tcl:338       -dump_dir is required for detailed_route_run_worker command
DRT 0519 FlexPA_prep.cpp:930       Via cut classes in LEF58_METALWIDTHVIAMAP are not supported.
DRT 0520 TritonRoute.tcl:344       -worker_dir is required for detailed_route_run_worker command
DRT 0606 TritonRoute.cpp:548       via in pin bottom layer {} not found.
DRT 0607 TritonRoute.cpp:560       via in pin top layer {} not found.
DRT 0608 io_parser_helper.cpp:55   Could not find user defined via {}
DRT 0610 TritonRoute.cpp:1059      Load design before setting default vias
DRT 0611 TritonRoute.cpp:1065      Via {} not found
DRT 0612 TritonRoute.tcl:447       -box is a list of 4 coordinates.
DRT 0613 TritonRoute.tcl:454       -output_file is required for check_drc command
DRT 0615 TritonRoute.cpp:1074      Load tech before setting unidirectional layers
DRT 0616 TritonRoute.cpp:1079      Layer {} not found
DRT 0617 TritonRoute.cpp:572       PDN layer {} not found.
DRT 0999 FlexDR.cpp:1217           Can't serialize used worker
DRT 1000 io_guide.cpp:103          Pin {} not in any guide. Attempting to patch guides to cover (at least part of) the pin.
DRT 1001 io_guide.cpp:151          No guide in the pin neighborhood
DRT 1002 io_guide.cpp:214          Layer is not horizontal or vertical
DRT 1003 FlexPA_prep.cpp:404       enclosesPlanarAccess: layer is neither vertical or horizontal
DRT 1004 FlexPA_prep.cpp:411       enclosesPlanarAccess: low track not found
DRT 1005 FlexPA_prep.cpp:419       enclosesPlanarAccess: high track not found
DRT 1006 FlexDR_maze.cpp:1771      failed to setTargetNet
DRT 1007 io_guide.cpp:101          PatchGuides invoked with non-term object.
DRT 1008 io_guide.cpp:271          checkPinForGuideEnclosure invoked with non-term object.
DRT 1009 FlexDR_init.cpp:1427      initNet_term_new invoked with non-term object.
DRT 1010 FlexDR_init.cpp:46        Unsupported non-orthogonal wire
DRT 1011 io.cpp:981                Access Point not found for iterm {}/{}
DRT 12304 TritonRoute.cpp:752       Updating design remotely failed
DRT 2000 FlexDR_maze.cpp:2048      ({} {} {} coords: {} {} {}\n
DRT 2001 FlexDR_maze.cpp:1506      Starting worker ({} {}) ({} {}) with {} markers
DRT 2002 FlexDR_maze.cpp:1703      Routing net {}
DRT 2003 FlexDR_maze.cpp:1761      Ending net {} with markers:
DRT 2005 FlexDR_maze.cpp:1934      Creating dest search points from pins:
DRT 2006 FlexDR_maze.cpp:1937      Pin {}
DRT 2007 FlexDR_maze.cpp:1968      ({} {} {} coords: {} {} {}\n
DRT 2008 TritonRoute.tcl:254       -dump_dir is required for debugging with -dump_dr.
DRT 3000 io_guide.cpp:291          Guide in layer {} which is above max routing layer {}
DRT 4000 FlexPA_graphics.cpp:79    DEBUGGING inst {} term {}
DRT 4500 FlexGC_main.cpp:1834      Edge outer dir should be either North or South
DRT 4501 FlexGC_main.cpp:1846      Edge outer dir should be either East or West
DRT 5000 FlexPA_graphics.cpp:86    INST NOT FOUND!
DRT 6000 FlexPA_prep.cpp:768       Macro pin has more than 1 polygon
DRT 6001 FlexDR_conn.cpp:1007      Path segs were not split: {} and {}
DRT 7461 FlexDR.cpp:1175           Balancer failed
DRT 9199 TritonRoute.cpp:449       Guide {} out of range {}
DRT 9504 TritonRoute.cpp:784       Updating globals remotely failed
DRT 9999 TritonRoute.cpp:388       unknown update type {}
