RCX 0001 ext.cpp:339               Reading SPEF file: {}
RCX 0381 ext.cpp:448               Filename for calibration is not defined. Define the filename using -spef_file
RCX 0404 extSpefIn.cpp:2387        Cannot find corner name {} in DB
RCX 0405 extSpefIn.cpp:1808        {}-rsegs net {} {} has {} loops
RCX 0406 extSpefIn.cpp:1757        Break one simple loop of {}-rsegs net {} {}
RCX 0407 extSpefIn.cpp:1798        {}-rsegs net {} {} has a {}-rsegs loop
RCX 0410 extRCmodel.cpp:3454       Cannot write <OVER> Res rules for <DensityModel> {} and layer {}
RCX 0411 extRCmodel.cpp:2646       \ttotFrCap for netId {}({}) {}
RCX 0414 extRCmodel.cpp:2640       \tfrCap from CC for netId {}({}) {}
RCX 0416 extRCmodel.cpp:2622       \tccCap for netIds {}({}), {}({}) {}
RCX 0417 extRCmodel.cpp:2604       FrCap for netId {} (nodeId= {})  {}
RCX 0418 extRCmodel.cpp:2580       Reads only {} nodes from {}
RCX 0431 netRC.cpp:1292            Defined process_corner {} with ext_model_index {}
RCX 0433 netRC.cpp:1268            A process corner {} for Extraction RC Model {} has already been defined, skipping definition
RCX 0434 netRC.cpp:1298            Defined process_corner {} with ext_model_index {} (using extRulesFile defaults)
RCX 0435 netRC.cpp:1624            Reading extraction model file {} ...
RCX 0436 netRC.cpp:1808            RC segment generation {} (max_merge_res {:.1f}) ...
RCX 0437 netRC.cpp:78              RECT {} ( {} {} ) ( {} {} )  jids= ( {} {} )
RCX 0438 netRC.cpp:67              VIA {} ( {} {} )  jids= ( {} {} )
RCX 0439 netRC.cpp:1839            Coupling Cap extraction {} ...
RCX 0440 netRC.cpp:1850            Coupling threshhold is {:.4f} fF, coupling capacitance less than {:.4f} fF will be grounded.
RCX 0442 extFlow.cpp:1316          {:d}% completion -- {:d} wires have been extracted
RCX 0443 extSpef.cpp:1798          {} nets finished
RCX 0444 extSpefIn.cpp:2264        Read {} D_NET nets, {} resistors, {} gnd caps {} coupling caps
RCX 0445 extSpefIn.cpp:2538        Have read {} D_NET nets, {} resistors, {} gnd caps {} coupling caps
RCX 0447 extSpefIn.cpp:2648        Db inst {} {} not read from spef file!
RCX 0448 extSpefIn.cpp:2633        Db net {} {} not read from spef file!
RCX 0449 extSpefIn.cpp:2688        {} 
RCX 0451 extSpefIn.cpp:2691        {}
RCX 0452 extSpefIn.cpp:68          Spef instance {} not found in db.
RCX 0456 extmeasure.cpp:918        pixelTable gave len {}, bigger than expected {}
RCX 0458 extmeasure.cpp:979        pixelTable gave len {}, bigger than expected {}
RCX 0459 extmeasure.cpp:608        getOverUnderIndex: out of range n= {}   m={} u= {} o= {}
RCX 0460 extmeasure.cpp:97         Cannot find dbRseg for net {} from the {} table entry {}
RCX 0463 extSpefIn.cpp:2601        Have read {} D_NET nets, {} resistors, {} gnd caps {} coupling caps
RCX 0464 extSpefIn.cpp:2613        Broke {} coupling caps of {} fF or smaller
RCX 0465 extSpef.cpp:1832          {} nets finished
RCX 0468 netRC.cpp:1629            Can't open extraction model file {}
RCX 0472 netRC.cpp:1317            The corresponding process corner has to be defined using the command <define_process_corner>
RCX 0474 netRC.cpp:2056            Can't execute write_spef command. There's no block in db!
RCX 0475 netRC.cpp:2151            Can't execute write_spef command. There's no block in db
RCX 0476 extmain.cpp:741               {}: {}
RCX 0480 netRC.cpp:2354                cc appearance count -- 1:{} 2:{} 3:{} 4:{} 5:{} 6:{} 7:{} 8:{} 9:{} 10:{} 11:{} 12:{} 13:{} 14:{} 15:{} 16:{}
RCX 0485 extRCmodel.cpp:2518       Cannot open file {} with permissions {}
RCX 0487 netRC.cpp:1650            No RC model read from the extraction model! Ensure the right extRules file is used!
RCX 0489 extRCmodel.cpp:3004       mv failed: {}
RCX 0490 extRCmodel.cpp:3293       system failed: {}
RCX 0491 extRCmodel.cpp:3302       rm failed on {}
RCX 0497 extmain.cpp:473           No design is loaded.
